"Municipality ID","Municipality","Year","GINI","Income Rate"
1001,"Aguascalientes",2010,0.426187008619308,0.117213003337383
1001,"Aguascalientes",2015,0.392367988824844,0.138448998332024
1002,"Asientos",2010,0.442575991153717,0.119098998606205
1002,"Asientos",2015,0.369850009679794,0.168442994356155
1003,"Calvillo",2010,0.426041007041931,0.117333002388477
1003,"Calvillo",2015,0.375097006559372,0.163682997226715
1004,"Cosío",2010,0.427527993917465,0.122822999954224
1004,"Cosío",2015,0.369515985250473,0.168667003512383
1005,"Jesús María",2010,0.449636995792389,0.12542499601841
1005,"Jesús María",2015,0.401767998933792,0.132874995470047
1006,"Pabellón de Arteaga",2010,0.420502007007599,0.118873998522758
1006,"Pabellón de Arteaga",2015,0.388606995344162,0.136611998081207
1007,"Rincón de Romos",2010,0.466089010238647,0.100428000092506
1007,"Rincón de Romos",2015,0.396452009677887,0.144639998674393
1008,"San José de Gracia",2010,0.498158991336823,0.0857909992337227
1008,"San José de Gracia",2015,0.418444007635117,0.129506006836891
1009,"Tepezalá",2010,0.430873990058899,0.141596004366875
1009,"Tepezalá",2015,0.371151000261307,0.161795005202293
1010,"El Llano",2010,0.430774003267288,0.133567005395889
1010,"El Llano",2015,0.370386987924576,0.168509006500244
1011,"San Francisco de los Romo",2010,0.450181007385254,0.117707997560501
1011,"San Francisco de los Romo",2015,0.366281002759933,0.171231999993324
2001,"Ensenada",2010,0.426017999649048,0.117034003138542
2001,"Ensenada",2015,0.372974991798401,0.146372005343437
2002,"Mexicali",2010,0.406401008367538,0.116215996444225
2002,"Mexicali",2015,0.365390986204147,0.139994993805885
2003,"Tecate",2010,0.420055985450745,0.123828999698162
2003,"Tecate",2015,0.364156991243362,0.145851001143456
2004,"Tijuana",2010,0.418554991483688,0.122643001377583
2004,"Tijuana",2015,0.360680997371674,0.154265999794006
2005,"Playas de Rosarito",2010,0.448527008295059,0.124100998044014
2005,"Playas de Rosarito",2015,0.372265994548798,0.156529992818832
3001,"Comondú",2010,0.465977996587753,0.102399997413158
3001,"Comondú",2015,0.394988000392914,0.13764500617981
3002,"Mulegé",2010,0.445459991693497,0.104604996740818
3002,"Mulegé",2015,0.372817009687424,0.153649002313614
3003,"La Paz",2010,0.453233003616333,0.0894960016012192
3003,"La Paz",2015,0.403046011924744,0.121212996542454
3008,"Los Cabos",2010,0.447964012622833,0.0796039998531342
3008,"Los Cabos",2015,0.389082998037338,0.138361006975174
3009,"Loreto",2010,0.43402498960495,0.110320001840591
3009,"Loreto",2015,0.410888999700546,0.129319995641708
4001,"Calkiní",2010,0.451510012149811,0.104912996292114
4001,"Calkiní",2015,0.435728013515472,0.138830006122589
4002,"Campeche",2010,0.422051995992661,0.120733000338078
4002,"Campeche",2015,0.435290992259979,0.133553996682167
4003,"Carmen",2010,0.487080991268158,0.0839250013232231
4003,"Carmen",2015,0.443259000778198,0.1119249984622
4004,"Champotón",2010,0.412887006998062,0.131518006324768
4004,"Champotón",2015,0.403685003519058,0.152926996350288
4005,"Hecelchakán",2010,0.428258001804352,0.122353002429008
4005,"Hecelchakán",2015,0.429971009492874,0.13519099354744
4006,"Hopelchén",2010,0.420845001935959,0.127333998680115
4006,"Hopelchén",2015,0.429825007915497,0.122372999787331
4007,"Palizada",2010,0.461526989936829,0.0979650020599365
4007,"Palizada",2015,0.409767001867294,0.124610997736454
4008,"Tenabo",2010,0.382699012756348,0.161236003041267
4008,"Tenabo",2015,0.388236999511719,0.161020994186401
4009,"Escárcega",2010,0.42748099565506,0.108479999005795
4009,"Escárcega",2015,0.404500007629395,0.131668999791145
4010,"Calakmul",2010,0.449099987745285,0.106596000492573
4010,"Calakmul",2015,0.435730993747711,0.106059998273849
4011,"Candelaria",2010,0.452333003282547,0.091790996491909
4011,"Candelaria",2015,0.401522010564804,0.121174998581409
5001,"Abasolo",2010,0.432108998298645,0.160548999905586
5001,"Abasolo",2015,0.490348011255264,0.0361980013549328
5002,"Acuña",2010,0.373084008693695,0.129968002438545
5002,"Acuña",2015,0.352331012487411,0.15234600007534
5003,"Allende",2010,0.401919990777969,0.124989002943039
5003,"Allende",2015,0.357098013162613,0.164508998394012
5004,"Arteaga",2010,0.425682008266449,0.128552004694939
5004,"Arteaga",2015,0.503956973552704,0.101962000131607
5005,"Candela",2010,0.449671000242233,0.141532003879547
5005,"Candela",2015,0.470506995916367,0.0525370016694069
5006,"Castaños",2010,0.365087985992432,0.145622000098228
5006,"Castaños",2015,0.342308014631271,0.152570992708206
5007,"Cuatro Ciénegas",2010,0.41236799955368,0.12568299472332
5007,"Cuatro Ciénegas",2015,0.394726991653442,0.131595000624657
5008,"Escobedo",2010,0.412207007408142,0.15854400396347
5008,"Escobedo",2015,0.540162026882172,0.119378000497818
5009,"Francisco I. Madero",2010,0.430346995592117,0.128919005393982
5009,"Francisco I. Madero",2015,0.451855003833771,0.137239992618561
5010,"Frontera",2010,0.370454013347626,0.139082998037338
5010,"Frontera",2015,0.366719990968704,0.135484993457794
5011,"General Cepeda",2010,0.390985995531082,0.133680000901222
5011,"General Cepeda",2015,0.432455986738205,0.143233001232147
5012,"Guerrero",2010,0.426423996686935,0.163403004407883
5012,"Guerrero",2015,0.440528988838196,0.143928006291389
5013,"Hidalgo",2010,0.431495994329453,0.179747998714447
5013,"Hidalgo",2015,0.4583860039711,0.123395003378391
5014,"Jiménez",2010,0.440582990646362,0.126415997743607
5014,"Jiménez",2015,0.432518988847733,0.147700995206833
5015,"Juárez",2010,0.471350997686386,0.122221998870373
5015,"Juárez",2015,0.440421998500824,0.107345998287201
5016,"Lamadrid",2010,0.496966004371643,0.12932500243187
5016,"Lamadrid",2015,0.595641016960144,0.0667190030217171
5017,"Matamoros",2010,0.380948007106781,0.150589004158974
5017,"Matamoros",2015,0.411264985799789,0.13298100233078
5018,"Monclova",2010,0.378621011972427,0.134721994400024
5018,"Monclova",2015,0.382672995328903,0.131744995713234
5019,"Morelos",2010,0.407707989215851,0.0904430001974106
5019,"Morelos",2015,0.383289992809296,0.126691997051239
5020,"Múzquiz",2010,0.398398011922836,0.148561999201775
5020,"Múzquiz",2015,0.375611007213593,0.165924996137619
5021,"Nadadores",2010,0.384743988513947,0.146330997347832
5021,"Nadadores",2015,0.411572992801666,0.123797997832298
5022,"Nava",2010,0.377305001020432,0.143216997385025
5022,"Nava",2015,0.334574013948441,0.150031998753548
5023,"Ocampo",2010,0.393384993076324,0.140903994441032
5023,"Ocampo",2015,0.40430098772049,0.142499998211861
5024,"Parras",2010,0.408028990030289,0.120573997497559
5024,"Parras",2015,0.405923008918762,0.123567000031471
5025,"Piedras Negras",2010,0.442979991436005,0.136864006519318
5025,"Piedras Negras",2015,0.371473014354706,0.155935004353523
5026,"Progreso",2010,0.435689002275467,0.147636994719505
5026,"Progreso",2015,0.466423004865646,0.120982997119427
5027,"Ramos Arizpe",2010,0.39767798781395,0.123033002018929
5027,"Ramos Arizpe",2015,0.381242990493774,0.111960001289845
5028,"Sabinas",2010,0.377894014120102,0.140492007136345
5028,"Sabinas",2015,0.369837999343872,0.140104994177818
5029,"Sacramento",2010,0.435887008905411,0.149589002132416
5029,"Sacramento",2015,0.50738400220871,0.106072001159191
5030,"Saltillo",2010,0.425217002630234,0.117380000650883
5030,"Saltillo",2015,0.374796986579895,0.13324199616909
5031,"San Buenaventura",2010,0.371497005224228,0.139458999037743
5031,"San Buenaventura",2015,0.345311999320984,0.157253995537758
5032,"San Juan de Sabinas",2010,0.368773996829987,0.137777999043465
5032,"San Juan de Sabinas",2015,0.370563000440598,0.142480000853539
5033,"San Pedro",2010,0.415069013834,0.122587002813816
5033,"San Pedro",2015,0.456093013286591,0.133386999368668
5034,"Sierra Mojada",2010,0.40711298584938,0.100979000329971
5034,"Sierra Mojada",2015,0.34451299905777,0.133809000253677
5035,"Torreón",2010,0.410434007644653,0.121449001133442
5035,"Torreón",2015,0.41380101442337,0.12738199532032
5036,"Viesca",2010,0.42535200715065,0.139137998223305
5036,"Viesca",2015,0.463533014059067,0.13612200319767
5037,"Villa Unión",2010,0.371248990297318,0.142471000552177
5037,"Villa Unión",2015,0.336692005395889,0.168623998761177
5038,"Zaragoza",2010,0.378071010112762,0.156937003135681
5038,"Zaragoza",2015,0.387203991413116,0.156204998493195
6001,"Armería",2010,0.429495990276337,0.136958003044128
6001,"Armería",2015,0.379824012517929,0.169064000248909
6002,"Colima",2010,0.490274995565414,0.104920998215675
6002,"Colima",2015,0.420796990394592,0.137630000710487
6003,"Comala",2010,0.52250200510025,0.103391997516155
6003,"Comala",2015,0.416491985321045,0.14562900364399
6004,"Coquimatlán",2010,0.457300990819931,0.129850000143051
